wheelchair_accessible_entrance,wheelchair_accessible_parking,women_prayer_section,address,city,country_code,latitud,longituf,neighborhood,openinghours_0_day,openinghours_0_hours,openinghours_1_day,openinghours_1_hours,openinghours_2_day,openinghours_2_hours,openinghours_3_day,openinghours_3_hours,openinghours_4_day,openinghours_4_hours,openinghours_5_day,openingHours_5_hours,openinghours_6_day,openinghours_6_hours,phone,reviews_count,search_pageurl,,state,street,title,url_slug,image_name,total_score,url_google,website
TRUE,TRUE,FALSE,3 Al Khwaher St - Jumeirah - Jumeirah 3 - Dubai - United Arab Emirates,Dubai,AE,251.922.333,552.320.712,Jumeirah - Jumeirah 3,,,,,,,,,,,,,,,,18,"https://www.google.com/maps/search/Mosqu/@25.198130851664505,55.22625165000002,14z?hl=en",,Dubai,3 Al Khwaher St,Ahmad Al Attar Mosque,ahmad-al-attar-mosque,ahmad-al-attar-mosque.jpg,5,https://www.google.com/maps/search/?api=1&query=Ahmad%20Al%20Attar%20Mosque&query_place_id=ChIJkSyTDfhDXz4RTAYiP_pbFh8,
TRUE,TRUE,FALSE,Mosque - 1A St - The Greens - Dubai - United Arab Emirates,Dubai,AE,250.934.972,5.516.779,The Greens,,,,,,,,,,,,,,,,129,"https://www.google.com/maps/search/Mosqu/@25.07406684999999,55.15801460628913,14z?hl=en",,Dubai,Mosque - 1A St,Greens Mosque,greens-mosque,green-mosque.jpg,4.6,https://www.google.com/maps/search/?api=1&query=Greens%20Mosque%20%D9%85%D8%B3%D8%AC%D8%AF%20%D8%A7%D9%84%D8%B4%D8%B1%D8%A8%D8%AA%D9%84%D9%8A&query_place_id=ChIJNcJbo2VrXz4RA9g1jbPqIL4,
TRUE,TRUE,FALSE,665V+X8J - Jumeirah - JumeirahJumeirah 2 - Dubai - United Arab Emirates,Dubai,AE,25.209.954,55.243.259,Jumeirah - JumeirahJumeirah 2,Monday,Open 24 hours,Tuesday,Open 24 hours,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Open 24 hours,Sunday,Open 24 hours,,0,"https://www.google.com/maps/search/Mosqu/@25.198130851664505,55.22625165000002,14z?hl=en",,Dubai,665V+X8J,ALI BIN SALEM AL ADEDI MASJID,ali-bin-salem-al-adedi-masjid,ali-bin-salem-al-adedi-masjid.jpg,,https://www.google.com/maps/search/?api=1&query=ALI%20BIN%20SALEM%20AL%20ADEDI%20MASJID&query_place_id=ChIJDwazHpdDXz4RnKyBuj2W5yk,
TRUE,TRUE,FALSE,Al Yalayis 5 - Jebel Ali - Lehbab Rd - Dubai - United Arab Emirates,Dubai,AE,249.554.651,5.527.875,,,,,,,,,,,,,,,,,37,"https://www.google.com/maps/search/Mosqu/@24.88797084750322,55.22625165000002,14z?hl=en",,Dubai,Al Yalayis 5 - Jebel Ali - Lehbab Rd,Al Sahabah Masjid / Mosque,al-sahabah-masjid-mosque,al-sahabah-masjid.jpg,4.8,https://www.google.com/maps/search/?api=1&query=Al%20Sahabah%20Masjid%20%2F%20Mosque&query_place_id=ChIJNQ3Yzw9xXz4R4MM4IW_1Zsw,
TRUE,TRUE,FALSE,W6V7+CRF - Dubai - United Arab Emirates,Dubai,AE,249.431.885,552.136.316,,,,,,,,,,,,,,,,,7,"https://www.google.com/maps/search/Mosqu/@24.88797084750322,55.22625165000002,14z?hl=en",,Dubai,W6V7+CRF,Dubai South Mosque Near Round About,dubai-south-mosque-near-round-about,dubai-south-mosque-near-round-about.jpg,3.7,https://www.google.com/maps/search/?api=1&query=Dubai%20South%20Mosque%20Near%20Round%20About&query_place_id=ChIJBbwyj0pzXz4RNh4uHjWS2W8,
TRUE,TRUE,FALSE,V5R2+2XQ Al Maktoum - Dubai South - Dubai - United Arab Emirates,Dubai,AE,248.900.804,551.524.847,Dubai South,,,,,,,,,,,,,,,,33,"https://www.google.com/maps/search/Mosqu/@24.88797084750322,55.22625165000002,14z?hl=en",,Dubai,V5R2+2XQ Al Maktoum,Al Maktoum Airport Mosque,al-maktoum-airport-mosque,al-maktoum-airport-mosque.jpg,4.8,https://www.google.com/maps/search/?api=1&query=Al%20Maktoum%20Airport%20Mosque&query_place_id=ChIJv7hmnsZ0Xz4R4B5GMfO2Xpg,
TRUE,TRUE,FALSE,Dubai Investment Park - 1 - Dubai - United Arab Emirates,Dubai,AE,249.708.661,551.680.455,Dubai Investments Park,,,,,,,,,,,,,,,,87,"https://www.google.com/maps/search/Mosqu/@24.88797084750322,55.22625165000002,14z?hl=en",,Dubai,Dubai Investment Park - 1,Masjid Tayyab Mohammed Ibrahim (Mosque),masjid-tayyab-mohammed-ibrahim-mosque,masjid-tayyab-mohammed-ibrahim-mosque.jpg,4.7,https://www.google.com/maps/search/?api=1&query=Masjid%20Tayyab%20Mohammed%20Ibrahim%20(Mosque)&query_place_id=ChIJQQLYeeVyXz4RPVM4D3rDRM4,
TRUE,TRUE,FALSE,Sh Mohammed Bin Zayed Rd 1 2 (Non-Stop - Dubai - United Arab Emirates,Dubai,AE,250.588.977,552.657.167,,,,,,,,,,,,,,,,,30,"https://www.google.com/maps/search/Mosqu/@24.88797084750322,55.22625165000002,14z?hl=en",,Dubai,Sh Mohammed Bin Zayed Rd 1 2 (Non-Stop,Al Kawther Masjid,al-kawther-masjid,al-kawther-masjid.jpg,4.9,https://www.google.com/maps/search/?api=1&query=Al%20Kawther%20Masjid&query_place_id=ChIJq9chFrRvXz4RDOn2milkK7k,
TRUE,TRUE,FALSE,56 14A St - Al Barsha - Al Barsha 3 - Dubai - United Arab Emirates,Dubai,AE,250.999.978,551.911.209,Al Barsha - Al Barsha 3,,,,,,,,,,,,,,,,48,"https://www.google.com/maps/search/Mosqu/@25.07406684999999,55.15801460628913,14z?hl=en",,Dubai,56 14A St,Mariam Mosque,mariam-mosque,mariam-mosque.jpg,4.9,https://www.google.com/maps/search/?api=1&query=Mariam%20Mosque&query_place_id=ChIJG4cWEoVrXz4R_IB1LBMB1XI,
,FALSE,FALSE,27P4+WX8 - Arabian Ranches - Dubai - United Arab Emirates,Dubai,AE,25.037.293,552.574.633,Arabian Ranches,,,,,,,,,,,,,,,97146087777,40,"https://www.google.com/maps/search/Mosqu/@24.88797084750322,55.22625165000002,14z?hl=en",,Dubai,27P4+WX8,Masjid Salam,masjid-salam,masjid-salam.jpg,4.8,https://www.google.com/maps/search/?api=1&query=Masjid%20Salam&query_place_id=ChIJXZTiyDpuXz4R-QqxE7YHs-c,
